Message,Encoded_Message
0000000,000000000000000
0000001,000000111010001
0000010,000001001110011
0000011,000001110100010
0000100,000010011100110
0000101,000010100110111
0000110,000011010010101
0000111,000011101000100
0001000,000100000011101
0001001,000100111001100
0001010,000101001101110
0001011,000101110111111
0001100,000110011111011
0001101,000110100101010
0001110,000111010001000
0001111,000111101011001
0010000,001000000111010
0010001,001000111101011
0010010,001001001001001
0010011,001001110011000
0010100,001010011011100
0010101,001010100001101
0010110,001011010101111
0010111,001011101111110
0011000,001100000100111
0011001,001100111110110
0011010,001101001010100
0011011,001101110000101
0011100,001110011000001
0011101,001110100010000
0011110,001111010110010
0011111,001111101100011
0100000,010000001110100
0100001,010000110100101
0100010,010001000000111
0100011,010001111010110
0100100,010010010010010
0100101,010010101000011
0100110,010011011100001
0100111,010011100110000
0101000,010100001101001
0101001,010100110111000
0101010,010101000011010
0101011,010101111001011
0101100,010110010001111
0101101,010110101011110
0101110,010111011111100
0101111,010111100101101
0110000,011000001001110
0110001,011000110011111
0110010,011001000111101
0110011,011001111101100
0110100,011010010101000
0110101,011010101111001
0110110,011011011011011
0110111,011011100001010
0111000,011100001010011
0111001,011100110000010
0111010,011101000100000
0111011,011101111110001
0111100,011110010110101
0111101,011110101100100
0111110,011111011000110
0111111,011111100010111
1000000,100000011101000
1000001,100000100111001
1000010,100001010011011
1000011,100001101001010
1000100,100010000001110
1000101,100010111011111
1000110,100011001111101
1000111,100011110101100
1001000,100100011110101
1001001,100100100100100
1001010,100101010000110
1001011,100101101010111
1001100,100110000010011
1001101,100110111000010
1001110,100111001100000
1001111,100111110110001
1010000,101000011010010
1010001,101000100000011
1010010,101001010100001
1010011,101001101110000
1010100,101010000110100
1010101,101010111100101
1010110,101011001000111
1010111,101011110010110
1011000,101100011001111
1011001,101100100011110
1011010,101101010111100
1011011,101101101101101
1011100,101110000101001
1011101,101110111111000
1011110,101111001011010
1011111,101111110001011
1100000,110000010011100
1100001,110000101001101
1100010,110001011101111
1100011,110001100111110
1100100,110010001111010
1100101,110010110101011
1100110,110011000001001
1100111,110011111011000
1101000,110100010000001
1101001,110100101010000
1101010,110101011110010
1101011,110101100100011
1101100,110110001100111
1101101,110110110110110
1101110,110111000010100
1101111,110111111000101
1110000,111000010100110
1110001,111000101110111
1110010,111001011010101
1110011,111001100000100
1110100,111010001000000
1110101,111010110010001
1110110,111011000110011
1110111,111011111100010
1111000,111100010111011
1111001,111100101101010
1111010,111101011001000
1111011,111101100011001
1111100,111110001011101
1111101,111110110001100
1111110,111111000101110
1111111,111111111111111
